source_id,active_days,total_detections,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,persistence_score
SOURCE_0196,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0197,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0198,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0199,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0200,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0201,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0202,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0203,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0204,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0205,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0206,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0207,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0208,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0209,2,3,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,0.24
SOURCE_0210,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0211,1,4,0,0.14285714285714,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.16
